state,district,total_enrolments,total_updates,age_18_greater,bio_age_5_17,erp_score,icmp_score,ami_score,last_mile_density,ghost_flag
100000,100000,218.0,2.0,217.0,0.0,0.0,0.08333333333333333,0.417091049382716,0.6096965020576132,False
Andaman & Nicobar Islands,Andamans,88.0,3013.0,0.0,387.0,0.6943942133815552,5.214587100663049,0.7417721518987341,0.0,True
Andaman & Nicobar Islands,Nicobars,1.0,6.0,0.0,1.0,0.14285714285714285,0.8571428571428571,0.6571428571428571,0.0,False
Andaman & Nicobar Islands,South Andaman,45.0,730.0,0.0,68.0,0.2118380062305296,2.1438213914849427,0.664797507788162,0.0,False
Andaman and Nicobar Islands,Nicobar,95.0,2888.0,0.0,1140.0,4.22139303482587,9.658333333333333,0.8661691542288557,0.0,True
Andaman and Nicobar Islands,North And Middle Andaman,162.0,9628.0,0.0,4451.0,7.5813356164383565,15.3898401826484,0.8541095890410959,0.0,True
Andaman and Nicobar Islands,South Andaman,237.0,14617.0,0.0,7335.0,6.627717391304348,12.51147342995169,0.8719202898550725,0.0,True
Andhra Pradesh,Adilabad,1782.0,89828.0,1.0,13902.0,2.681995473908413,15.435363577006948,0.827054712460064,9.984025559105431e-05,True
Andhra Pradesh,Alluri Sitharama Raju,1608.0,34286.0,45.0,9371.0,2.840625319823969,9.174750354547715,0.8088874512040001,0.004057195491030308,True
Andhra Pradesh,Anakapalli,701.0,21554.0,10.0,4030.0,1.1691368788142982,5.935624334011431,0.7313281022958442,0.0009687106461300009,True
Andhra Pradesh,Anantapur,5743.0,179713.0,0.0,41321.0,3.867710018076301,14.65295623096974,0.83695176481781,0.0,True
Andhra Pradesh,Ananthapur,2546.0,124254.0,0.0,70255.0,7.696503984429511,12.795335148491477,0.843208108405861,0.0,True
Andhra Pradesh,Ananthapuramu,4134.0,187482.0,11.0,106654.0,11.25566652500354,18.380505670664512,0.8666525003541579,0.00030525030525030525,True
Andhra Pradesh,Annamayya,1311.0,46496.0,134.0,7295.0,1.7384898710865562,10.234493005859807,0.7436164968029009,0.011360722710710699,True
Andhra Pradesh,Bapatla,593.0,20771.0,25.0,4558.0,1.168600154679041,5.141651628426571,0.753744521783965,0.002986164819111455,True
Andhra Pradesh,Chittoor,10791.0,478701.0,54.0,202940.0,16.857759530122888,34.16394592006951,0.8946872136075369,0.0010787599573845405,True
Andhra Pradesh,Cuddapah,7796.0,285221.0,2.0,131672.0,13.528540727539575,24.906134820921555,0.8951084384043814,3.573845171496917e-05,True
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,841.0,22955.0,20.0,5058.0,1.0739931813339016,4.637040983024363,0.7477200085233325,0.0020242914979757085,True
Andhra Pradesh,East Godavari,9949.0,515316.0,19.0,238998.0,13.860401863487775,26.409280790901388,0.8853514592753537,0.00045077165283871493,True
Andhra Pradesh,Eluru,772.0,27303.0,24.0,4830.0,1.0080645161290323,5.4233731322441,0.7250471302890658,0.0021470465018852115,True
Andhra Pradesh,Guntur,12734.0,528028.0,57.0,220825.0,16.713078317152103,34.695034332249584,0.8932217845584836,0.0012956597878927977,True
Andhra Pradesh,Hyderabad,6447.0,160090.0,1.0,27232.0,3.653477502676197,18.983573113105766,0.8506909768983736,4.8344210780759e-05,True
Andhra Pradesh,K.V.Rangareddy,75.0,1346.0,0.0,173.0,0.1866235167206041,1.4232290542970154,0.6651564185544768,0.0,False
Andhra Pradesh,K.v. Rangareddy,20.0,585.0,0.0,227.0,0.531615925058548,1.3489461358313817,0.747072599531616,0.0,False
Andhra Pradesh,Kakinada,1219.0,42823.0,31.0,8465.0,2.1884362680683314,10.363609286027158,0.7875558475689882,0.00346035917652212,True
Andhra Pradesh,Karim Nagar,99.0,3043.0,0.0,426.0,0.3662891986062718,2.533754355400697,0.6843205574912892,0.0,True
Andhra Pradesh,Karimnagar,797.0,29986.0,0.0,4878.0,0.9208921082729699,5.331325454314398,0.754174609226077,0.0,True
Andhra Pradesh,Khammam,1474.0,80575.0,0.0,18029.0,2.9007314524555903,12.167832590881593,0.8455480393774405,0.0,True
Andhra Pradesh,Krishna,8787.0,385523.0,48.0,168106.0,12.889981288008732,25.700017266834795,0.8837634492437236,0.001259996435811187,True
Andhra Pradesh,Kurnool,15275.0,612272.0,26.0,296944.0,27.724569933885363,48.919634679136806,0.9001191622422124,0.0004611089533099932,True
Andhra Pradesh,Mahabub Nagar,1937.0,30813.0,0.0,1018.0,0.18893265064986214,4.914264614865245,0.640716817644742,0.0,True
